reg_ins,nom_com,cpf,dat_nas,categoria,cep,num,comp,sit
32288565,Isabela Sanches,99756478390,1999-05-27,,1101010,615,,ativo
12630875,Mauro Brites,19379385307,2005-07-16,,3694000,2983,,ativo
85615140,Clarice Ramalho,42949708129,1996-06-19,,6310390,650,,ativo
18723120,Daniel Assis,82530718504,2004-10-07,,8773600,908,,ativo
29498414,Rafaela Mourão,67564565047,1994-03-15,,18013280,2015,,ativo
53587187,Emerson Paiva,80538529989,2000-04-08,,11015502,350,,ativo
83797211,Talita Guimarães,79382152288,1990-03-22,,11700100,144,,ativo
41164972,Álvaro Penteado,71285960890,1989-01-15,,17580000,605,,ativo
77542457,Denise Trindade,95912591824,2003-10-20,,9581420,225,,ativo
26517758,Hugo Martins,50990538745,2004-03-17,,7190065,88,,ativo
86322635,Silvana Azevedo,34587971146,1994-02-04,,1101010,615,,ativo
46042715,Mateus Ferraz,83795857120,1995-02-01,,3694000,2983,,ativo
26787952,Patrícia Mendonça,6731049077,1996-08-27,,6310390,650,,ativo
56369029,Caíque Lemos,6746742270,1998-06-20,,8773600,908,,ativo
17864834,Joana Magalhães,57427371909,1989-08-23,,18013280,2015,,ativo
30251994,Enzo Fagundes,39272980852,1994-10-08,,11015502,350,,ativo
40722885,Mirela Dias,51454546786,1995-06-26,,11700100,144,,ativo
75835601,Robson Peçanha,46379133909,1992-01-09,,17580000,605,,ativo
80467039,Rita Nogueira,58629245662,1998-10-08,,9581420,225,,ativo
55845882,Ronaldo Travassos,30948951907,2003-02-15,,7190065,88,,ativo
38202613,Karen Valença,96858368094,1991-11-08,,1101010,615,,ativo
79785715,Douglas Araújo,42265174238,1995-09-01,,3694000,2983,,ativo
62963167,Vitória Benevides,6706697680,1998-11-01,,6310390,650,,ativo
82144154,Sidney Moura,94509226241,1994-01-04,,8773600,908,,ativo
43458647,Milena Furtado,74291225318,2003-01-17,,18013280,2015,,ativo
57763148,Everton Silveira,50892719680,1990-03-15,,11015502,350,,ativo
63763090,Katharina Alves,37957062547,1992-03-27,,11700100,144,,ativo
21286180,Cláudio Fagundes,86745803003,2003-05-15,,17580000,605,,ativo
14823134,Letícia Munhoz,14896861930,1994-10-14,,9581420,225,,ativo
83106459,Sandro Lisboa,26192492441,1995-06-14,,7190065,88,,ativo
13141433,Mirian Saldanha,63996330952,2004-12-24,,1101010,615,,ativo
79125912,Otávio Ramalho,17704911635,1991-02-13,,3694000,2983,,ativo
85241414,Yasmin Arantes,65279958905,1993-05-20,,6310390,650,,ativo
93923798,Cristiano Barreto,68874858426,1989-01-23,,8773600,908,,ativo
75045344,Heloísa Bastos,31433043246,1999-09-08,,18013280,2015,,ativo
53817136,Fabrício Nogueira,83190547459,1993-05-25,,11015502,350,,ativo
54585037,Aída Fonseca,803179871,2004-03-24,,11700100,144,,ativo
39576786,Thiago Pizzotti,46051647902,1991-02-04,,17580000,605,,ativo
32399707,Stephanie Duarte,45320730810,2002-08-10,,9581420,225,,ativo
17463048,Jorge Assunção,82413674497,1994-03-18,,7190065,88,,ativo
